Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dominica,DMA,17063,15869,16196,16714,13886,71307,71460,71626,71808,71991
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Dominican Rep.,DOM,214748,222303,235274,244587,225859,10397738,10513111,10627147,10738957,10847904
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Ecuador,ECU,4203,4227,4207,4137,3758,16491116,16785356,17084359,17373657,17643060
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Egypt,EGY,35266,35980,37129,38426,39041,94447071,96442590,98423602,100388076,102334403
GDP per capita (constant LCU),NY.GDP.PCAP.KN,El Salvador,SLV,3732,3797,3869,3951,3619,6356137,6388124,6420740,6453550,6486201
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Equatorial Guinea,GNQ,5007724,4548630,4111951,3732051,3430515,1215181,1262008,1308966,1355982,1402985
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Estonia,EST,16298,17173,17859,18682,18077,1315790,1317384,1321977,1326898,1331057
GDP per capita (constant LCU),NY.GDP.PCAP.KN,eSwatini,ETH,15136,16147,16802,17744,18346,103603461,106399926,109224410,112078727,114963583
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Ethiopia,FRO,0,0,0,0,0,48173,48326,48497,48677,48865
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Faroe Islands,FJI,11249,11783,12149,12007,9649,872406,877460,883490,889955,896444
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Fiji,FIN,39548,40715,41194,41673,40450,5495303,5508214,5515525,5521606,5530719
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Finland,FRA,33309,33974,34488,34932,32029,66724104,66918020,67101930,67248926,67391582
GDP per capita (constant LCU),NY.GDP.PCAP.KN,France,PYF,0,0,0,0,0,274576,276108,277673,279285,280904
GDP per capita (constant LCU),NY.GDP.PCAP.KN,French Polynesia,GAB,2718728,2656264,2609817,2646216,2548827,2007882,2064812,2119275,2172578,2225728
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Gabon,GMB,24071,24494,25504,26270,25520,2149134,2213900,2280092,2347696,2416664
GDP per capita (constant LCU),NY.GDP.PCAP.KN,"Gambia, The",GEO,9369,9821,10301,10832,10182,3727505,3728004,3726549,3720161,3714000
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Georgia,DEU,37568,38402,38772,38899,36929,82348669,82657002,82905782,83092962,83240525
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Germany,GHA,4745,5018,5214,5435,5342,28481947,29121464,29767108,30417858,31072945
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Ghana,GIB,0,0,0,0,0,33738,33723,33715,33706,33691
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Gibraltar,GRC,16263,16504,16795,17125,15721,10775971,10754679,10732882,10721582,10715549
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Greece,GRL,266659,267975,277334,0,0,56186,56172,56023,56225,56367
