Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,9250,9668,10006,8420,7143,,1215181,1262008,1308966,1355982,1402985
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,0,0,0,0,0,,0,0,0,0,0
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,18437,20408,23159,23718,23312,,1315790,1317384,1321977,1326898,1331057
GDP per capita (current US$),NY.GDP.PCAP.CD,eSwatini,ETH,717,769,772,856,936,,103603461,106399926,109224410,112078727,114963583
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,FRO,56854,59993,62918,64225,0,,48173,48326,48497,48677,48865
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FJI,5651,6101,6317,6176,4882,,872406,877460,883490,889955,896444
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FIN,43784,46297,50013,48712,49041,,5495303,5508214,5515525,5521606,5530719
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FRA,37037,38685,41526,40380,38625,,66724104,66918020,67101930,67248926,67391582
GDP per capita (current US$),NY.GDP.PCAP.CD,France,PYF,0,0,0,0,0,,274576,276108,277673,279285,280904
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,GAB,6984,7230,7957,7767,7006,,2007882,2064812,2119275,2172578,2225728
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GMB,691,680,733,778,787,,2149134,2213900,2280092,2347696,2416664
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GEO,4062,4357,4723,4698,4279,,3727505,3728004,3726549,3720161,3714000
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,DEU,42108,44443,47787,46468,45724,,82348669,82657002,82905782,83092962,83240525
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,GHA,1913,2021,2194,2210,2329,,28481947,29121464,29767108,30417858,31072945
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GIB,0,0,0,0,0,,33738,33723,33715,33706,33691
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GRC,17885,18562,19766,19151,17676,,10775971,10754679,10732882,10721582,10715549
