Series Name,Country,Country Code,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,,Series Name,Continent(Population),Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],,Series Name,Continent,Country Code,GDP per capita (2016),GDP per capita (2017),GDP per capita (2018),GDP per capita (2019),GDP per capita (2020),,,,Series Name,Country Name(Population),Country Code,Population_2016 ,Population_2017,Population_2018,Population_2019,Population_2020
GDP per capita (current US$),Cameroon,CMR,1364,1425,1534,1507,1499,,,,,,,,,,,,,,,,,,,,,,"Population, total",Cameroon,CMR,23926549.00,24566070.00,25216261.00,25876387.00,26545864.00
GDP per capita (current US$),Canada,CAN,42316,45129,46455,46327,43242,,,,,,,,,,,,,,,,,,,,,,"Population, total",Canada,CAN,36109487.00,36545295.00,37065178.00,37593384.00,38005238.00
GDP per capita (current US$),Cayman Islands,CYM,78472,81513,86060,91393,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Cayman Islands,CYM,62564.00,63382.00,64172.00,64948.00,65720.00
GDP per capita (current US$),Central African Rep.,CAF,402,451,476,468,477,,,,,,,,,,,,,,,,,,,,,,"Population, total",Central African Republic,CAF,4537683.00,4596023.00,4666375.00,4745179.00,4829764.00
GDP per capita (current US$),Chad,TCD,693,666,726,710,614,,,,,,,,,,,,,,,,,,,,,,"Population, total",Chad,TCD,14561658.00,15016761.00,15477727.00,15946882.00,16425859.00
GDP per capita (current US$),Channel Islands,CHI,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Channel Islands,CHI,166922.00,168666.00,170496.00,172264.00,173859.00
GDP per capita (current US$),Chile,CHL,13754,14999,15888,14742,13232,,,,,,,,,,,,,,,,,,,,,,"Population, total",Chile,CHL,18209072.00,18470435.00,18729166.00,18952035.00,19116209.00
GDP per capita (current US$),China,CHN,8148,8879,9977,10217,10500,,,,,,,,,,,,,,,,,,,,,,"Population, total",China,CHN,1378665000.00,1386395000.00,1392730000.00,1397715000.00,1402112000.00
GDP per capita (current US$),Colombia,COL,5871,6377,6730,6425,5333,,,,,,,,,,,,,,,,,,,,,,"Population, total",Colombia,COL,48175048.00,48909844.00,49661056.00,50339443.00,50882884.00
GDP per capita (current US$),Comoros,COM,1273,1324,1416,1370,1403,,,,,,,,,,,,,,,,,,,,,,"Population, total",Comoros,COM,795597.00,813890.00,832322.00,850891.00,869595.00
