Country Name,Country Code,Series Name,Series Code,2016 [GDP GROWTH|2016],2017 [GDP GROWTH|2017],2018 [GDP GROWTH|2018],2019 [GDP GROWTH|2019],Growth,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Guam,GUM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,1,-1,2,0,15827690,16087418,16346950,16604026,16858333
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3,3,3,4,-2,11738434,12067516,12414292,12771246,13132792
Guinea,GIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11,10,6,6,7,1782434,1828146,1874304,1920917,1967998
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,6,1,4,-2,771363,775218,779007,782775,786559
Guyana,GUY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,4,5,43,10839976,10982367,11123183,11263079,11402533
Haiti,HTI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,2,-2,-3,9270794,9429016,9587523,9746115,9904608
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,5,4,3,-9,7336600,7391700,7451000,7507400,7481800
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,4,3,-2,-6,9814023,9787966,9775564,9771141,9749763
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,4,5,5,-5,335439,343400,352721,360563,366425
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,4,5,3,-7,1324517250,1338676779,1352642283,1366417756,1380004385
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8,7,7,4,-8,261556386,264650969,267670549,270625567,273523621
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,5,5,5,-2,79563991,80673888,81800204,82913893,83992953
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13,4,-6,-7,2,36610632,37552789,38433604,39309789,40222503
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14,-2,-1,4,-10,4755335,4807388,4867316,4934340,4994724
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,9,9,6,3,83296,83610,84073,84589,85032
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7,3,2,0,0,8546000,8713300,8882800,9054000,9216900
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4,4,3,3,-2,60627498,60536709,60421760,59729081,59554023
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,2,1,0,-9,2906242,2920848,2934853,2948277,2961161
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,1,2,1,-10,126994511,126785797,126529100,126264931,125836021
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,2,0,0,0,9554286,9785840,9965322,10101697,10203140
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2,2,2,2,-2,17794055,18037776,18276452,18513673,18754440
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1,4,4,5,-3,49051531,50221146,51392570,52573967,53771300
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6,5,6,5,0,112529,114153,115842,117608,119446
Kiribati,KIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5,1,2,2,3,25307665,25429816,25549606,25666158,25778815
